Field,Date,close_price,return_price
Close,2023-01-03,124.2163,-0.3539976680399783
Close,2023-01-04,125.4975,0.010314266324145852
Close,2023-01-05,124.1666,-0.010604992131317355
Close,2023-01-06,128.7352,0.036794113714960296
Close,2023-01-09,129.2616,0.004089013727403191
Close,2023-01-10,129.8377,0.0044568533887869655
Close,2023-01-11,132.5788,0.02111174181304805
Close,2023-01-12,132.4994,-0.0005988891134932025
Close,2023-01-13,133.8402,0.010119291106223888
Close,2023-01-17,135.0121,0.008755964202085723
Close,2023-01-18,134.2871,-0.005369889069201903
Close,2023-01-19,134.3467,0.00044382520733554447
Close,2023-01-20,136.9289,0.019220420002873165
Close,2023-01-23,140.1468,0.02350051742181537
Close,2023-01-24,141.5571,0.010063019633698222
Close,2023-01-25,140.8917,-0.004700576657758638
Close,2023-01-26,142.9774,0.014803568982417012
Close,2023-01-27,144.9339,0.013683980824941603
Close,2023-01-30,142.0239,-0.02007811836982236
Close,2023-01-31,143.3051,0.009021016885186315
Close,2023-02-01,144.4373,0.00790062600702964
Close,2023-02-02,149.7905,0.037062448550339945
Close,2023-02-03,153.4454,0.02440007877669143
Close,2023-02-06,150.6943,-0.017928852868838087
Close,2023-02-07,153.5944,0.01924492167255171
Close,2023-02-08,150.883,-0.017652987348497063
Close,2023-02-09,149.8402,-0.006911315390070449
Close,2023-02-10,150.2082,0.002455949738454667
Close,2023-02-13,153.0332,0.018807228899620585
Close,2023-02-14,152.3866,-0.004225226944218683
Close,2023-02-15,154.5053,0.01390345345325651
Close,2023-02-16,152.8939,-0.010429415689947227
Close,2023-02-17,151.7401,-0.007546409634393457
Close,2023-02-21,147.6917,-0.02667982952429855
Close,2023-02-22,148.1194,0.002895897332077671
Close,2023-02-23,148.6068,0.003290588538705798
Close,2023-02-24,145.9311,-0.01800523260039249
Close,2023-02-27,147.1346,0.008247042611205012
Close,2023-02-28,146.6273,-0.003447863384955102
Close,2023-03-01,144.5385,-0.014245641841594247
Close,2023-03-02,145.1353,0.004129003691058104
Close,2023-03-03,150.2281,0.035090016005754704
Close,2023-03-06,153.0133,0.018539807133285815
Close,2023-03-07,150.7951,-0.014496779038162017
Close,2023-03-08,152.0584,0.008377593171130994
Close,2023-03-09,149.7905,-0.014914664365796282
Close,2023-03-10,147.7116,-0.013878717275127624
Close,2023-03-13,149.6711,0.013265715082633939
Close,2023-03-14,151.7798,0.014088892244394536
Close,2023-03-15,152.1777,0.0026215609718815867
Close,2023-03-16,155.0225,0.018693934788080124
Close,2023-03-17,154.177,-0.005454046993178509
Close,2023-03-20,156.5643,0.0154841513325594
Close,2023-03-21,158.4343,0.011943974456501288
Close,2023-03-22,156.992,-0.00910345802645019
Close,2023-03-23,158.0862,0.00696978189971464
Close,2023-03-24,159.3992,0.008305595301803805
Close,2023-03-27,157.4396,-0.012293662703451426
Close,2023-03-28,156.813,-0.003979938973422345
Close,2023-03-29,159.9164,0.019790451046788355
Close,2023-03-30,161.498,0.009890167612577449
Close,2023-03-31,164.0245,0.015644156583982455
Close,2023-04-03,165.2877,0.007701288527018902
Close,2023-04-04,164.7506,-0.003249485593906924
Close,2023-04-05,162.8905,-0.011290398942401355
Close,2023-04-06,163.7858,0.005496330356896146
Close,2023-04-10,161.1697,-0.015972691161260554
Close,2023-04-11,159.9463,-0.007590756823397934
Close,2023-04-12,159.25,-0.004353336088424727
Close,2023-04-13,164.681,0.03410361067503932
Close,2023-04-14,164.3328,-0.002114390852618212
Close,2023-04-17,164.3527,0.00012109572769408733
Close,2023-04-18,165.5861,0.0075045922579914355
Close,2023-04-19,166.74,0.006968580092169703
Close,2023-04-20,165.7652,-0.005846227659829771
Close,2023-04-21,164.1438,-0.00978130512315006
Close,2023-04-24,164.4522,0.0018788403826401363
